lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
42,1,182.7,3,18,4,2,1,0,3,0
91,0,65.0,9,14,2,3,0,0,0,1
33,0,108.9,5,25,4,1,0,0,0,1
86,2,104.4,10,26,4,2,0,0,3,1
100,0,108.0,10,16,4,1,0,1,0,0
274,1,115.2,9,27,4,2,0,0,3,0
214,1,90.9,8,11,4,3,0,0,0,0
5,0,58.0,12,9,3,3,0,0,0,1
197,1,97.02,8,23,4,5,2,0,0,1
263,0,110.0,10,21,3,2,0,0,0,0
25,1,94.35,6,12,4,0,2,0,0,1
168,0,205.0,11,25,4,2,2,0,6,0
75,0,135.0,10,11,4,5,0,0,0,0
150,0,101.0,1,2,3,1,2,1,0,1
70,2,174.3,4,16,4,1,2,0,5,1
69,2,119.8,12,31,4,2,0,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
102,0,109.0,10,16,3,2,0,1,0,1
273,0,95.0,5,13,3,2,1,0,0,0
113,0,100.0,5,31,2,3,0,0,0,0
92,1,134.1,8,20,4,3,2,0,0,0
273,0,87.0,7,17,3,2,0,1,0,1
11,1,145.0,10,3,4,2,2,0,0,1
91,0,116.1,5,21,4,1,1,3,0,1
30,0,156.9,12,22,4,3,1,0,5,1
74,1,124.6,11,10,4,3,2,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
3,0,120.0,9,19,2,1,2,0,0,1
228,1,90.95,8,31,4,4,1,0,0,1
69,0,110.08,4,17,4,2,2,0,3,1
351,3,85.85,12,23,4,7,3,0,3,1
214,1,158.95,8,7,4,2,2,0,5,0
74,0,132.3,10,21,4,2,0,0,3,0
44,0,77.76,11,3,4,2,0,0,0,1
10,0,215.0,5,13,4,3,2,0,5,0
40,0,115.2,12,5,4,1,1,0,0,1
15,2,115.0,9,16,4,1,0,3,3,1
207,0,95.0,12,30,3,2,1,0,0,1
13,0,96.0,12,5,4,0,1,0,0,1
277,1,89.14,9,5,3,5,2,1,0,1
123,2,107.95,5,22,4,2,2,0,3,1
24,2,146.0,6,9,4,2,0,0,3,1
30,1,125.1,7,27,4,1,0,3,0,1
